,ZIP_CODE,CITY,LONGITUDE,LATITUDE
147,99134,Harrington,-118.38258,47.460312
148,99036,Valleyford,-117.27054,47.52507
149,98205,Everett,-122.12723,47.993436
150,98901,Yakima,-120.46481,46.616199
151,98345,Keyport,-122.62554,47.702342
152,99217,Spokane,-117.33776,47.707542
153,98112,Seattle,-122.29752,47.629653
154,98059,Renton,-122.14169,47.493031
155,98520,Aberdeen,-123.81923,46.972965
156,98198,Seattle,-122.315,47.397521
157,98005,Bellevue,-122.16858,47.611021
158,98460,Tacoma,-122.113223,47.066193
159,98321,Buckley,-122.05255,47.155649
160,98053,Redmond,-122.03318,47.640972
161,99025,Newman Lake,-117.06934,47.751434
162,99341,Lind,-118.63676,46.912194
163,98236,Clinton,-122.40089,47.962134
164,99103,Almira,-118.95554,47.721863
165,98542,Ethel,-122.74407,46.532624
166,98203,Everett,-122.21792,47.943468
167,98297,Waldron,-123.02636,48.701835
168,98303,Anderson Island,-122.69584,47.16438
169,99335,Kahlotus,-118.55652,46.648121
170,99302,Pasco,-119.094271,46.234957
171,98060,Seattle,-121.803388,47.432251
172,98950,Vantage,-119.98939,46.880413
173,98942,Selah,-120.56997,46.726395
174,98349,Lakebay,-122.76897,47.268551
175,98590,Tokeland,-123.98121,46.737458
176,98052,Redmond,-122.12138,47.677471
177,98612,Cathlamet,-123.34624,46.208318
178,98286,Shaw Island,-122.96643,48.575362
179,98295,Sumas,-122.20146,48.971298
180,98569,Ocean Shores,-124.15607,46.983877
181,99114,Colville,-117.7671,48.658512
182,98312,Bremerton,-122.71293,47.564437
183,98490,Tacoma,-122.437043,47.248942
184,98353,Manchester,-122.54535,47.553289
185,98532,Chehalis,-123.01599,46.630721
186,98860,Wilson Creek,-119.13921,47.458634
187,98546,Grapeview,-122.92935,47.321442
188,98823,Ephrata,-119.57129,47.297368
189,98620,Goldendale,-120.75703,45.846697
190,98840,Okanogan,-119.57656,48.343356
191,98667,Vancouver,-122.520347,45.801586
192,98566,Neilton,-123.890317,47.387674
193,98674,Woodland,-122.70284,45.928662
194,98054,Redondo,-121.803388,47.432251
195,98663,Vancouver,-122.66162,45.647667
196,98609,Carrolls,-122.864838,46.071482
197,98907,Yakima,-120.573967,46.628757
198,98499,Lakewood,-122.50844,47.16632
199,99012,Fairfield,-117.18568,47.383651
200,98639,North Bonneville,-121.97167,45.650041
201,98385,South Prairie,-122.09819,47.138345
202,98338,Graham,-122.291,47.028423
203,98261,Lopez Island,-122.88271,48.481655
204,98813,Bridgeport,-119.66129,47.999618
205,98201,Everett,-122.20222,47.986274
206,99223,Spokane,-117.35892,47.614744
207,99127,Saint John,-117.644337,46.838747
208,98232,Bow,-122.41375,48.559548
209,98118,Seattle,-122.27496,47.543348
210,98468,Oakville,-123.228797,46.843337
211,98477,Tacoma,-122.113223,47.066193
212,98102,Seattle,-122.32253,47.63287
213,98039,Medina,-122.2328,47.626571
214,98819,Conconully,-119.75474,48.559477
215,98398,Paradise Inn,-122.113223,47.066193
216,99215,Spokane,-117.431742,47.653568
217,99154,Mohler,-118.3799,47.376884
218,99040,Wellpinit,-118.03661,47.863857
219,98595,Westport,-124.10735,46.887187
220,98117,Seattle,-122.37838,47.685919
221,98513,Olympia,-122.75285,47.00581
222,98148,Seattle,-122.33068,47.443756
223,98119,Seattle,-122.36694,47.63877
224,99037,Veradale,-117.19993,47.643346
225,98851,Soap Lake,-119.4624,47.400024
226,98394,Vaughn,-122.78309,47.336226
227,98811,Ardenvoir,-120.37126,47.737028
228,98579,Rochester,-123.08647,46.814438
229,99122,Davenport,-118.18938,47.671143
230,98199,Seattle,-122.39758,47.64767
231,98190,Seattle,-121.803388,47.432251
232,99141,Kettle Falls,-118.10045,48.690209
233,98004,Bellevue,-122.20308,47.618371
234,98177,Seattle,-122.36978,47.740886
235,98682,Vancouver,-122.51319,45.67309
236,99326,Connell,-118.8823,46.675704
237,98539,Doty,-123.2798,46.637787
238,99155,Nespelem,-119.00126,48.17266
239,98614,Chinook,-123.93844,46.282397
240,98586,South Bend,-123.85214,46.560786
241,99208,Spokane,-117.43916,47.740491
242,99156,Newport,-117.16984,48.159752
243,98376,Quilcene,-122.85233,47.826111
244,98357,Neah Bay,-124.64076,48.35306
245,98280,Orcas,-122.91828,48.594255
246,98684,Vancouver,-122.52023,45.627459
247,99124,Elmer City,-118.95248,47.998468
248,98023,Federal Way,-122.36178,47.309021
249,98821,Dryden,-120.5614,47.541723
250,99123,Electric City,-119.06531,47.907923
251,99149,Malden,-117.47364,47.227436
252,98415,Tacoma,-122.113223,47.066193
253,98390,Sumner,-122.1887,47.196364
254,99158,Oakesdale,-117.25463,47.136249
255,99319,Desert Aire,-119.911288,46.68039
256,98223,Arlington,-122.05288,48.203856
257,98070,Vashon,-122.46821,47.416198
258,99115,Coulee City,-119.3827,47.646132
259,98555,Lilliwaup,-123.06888,47.521614
260,98287,Silvana,-121.682271,48.037258
261,99333,Hooper,-117.644337,46.838747
262,99344,Othello,-119.17443,46.843397
263,98903,Yakima,-120.62097,46.550348
264,98072,Woodinville,-122.10205,47.758786
265,98932,Granger,-120.1843,46.345166
266,98003,Federal Way,-122.31188,47.311072
267,98271,Marysville,-122.21614,48.093129
268,98207,Everett,-121.682271,48.037258
269,99309,Mattawa,-119.901931,46.731046
270,98360,Orting,-122.14691,47.039607
271,99129,Fruitland,-118.21339,48.003202
272,98471,Tacoma,-122.113223,47.066193
273,98807,Wenatchee,-120.520211,47.905787
