,zip,city,x,y
204,98813,Bridgeport,42,15
205,98201,Everett,-36,66
206,99223,Spokane,96,18
207,99127,Saint John,74,-3
208,98232,Bow,-36,78
209,98118,Seattle,-34,21
210,98468,Oakville,-80,-30
211,98477,Tacoma,-28,6
212,98102,Seattle,-44,36
213,98039,Medina,-32,30
214,98819,Conconully,40,24
215,98398,Paradise Inn,-26,-3
216,99215,Spokane,92,6
217,99154,Mohler,66,9
218,99040,Wellpinit,70,27
219,98595,Westport,-102,-39
220,98117,Seattle,-40,18
221,98513,Olympia,-66,-21
222,98148,Seattle,-30,15
223,98119,Seattle,-34,27
224,99037,Veradale,110,3
225,98851,Soap Lake,46,9
226,98394,Vaughn,-54,9
227,98811,Ardenvoir,26,15
228,98579,Rochester,-78,-33
229,99122,Davenport,66,15
230,98199,Seattle,-44,18
231,98190,Seattle,2,9
232,99141,Kettle Falls,64,36
233,98004,Bellevue,-30,27
234,98177,Seattle,-42,45
235,98682,Vancouver,-22,-75
236,99326,Connell,54,3
237,98539,Doty,-84,-36
238,99155,Nespelem,58,27
239,98614,Chinook,-96,-54
240,98586,South Bend,-98,-45
241,99208,Spokane,90,9
242,99156,Newport,92,24
243,98376,Quilcene,-58,33
244,98357,Neah Bay,-78,21
245,98280,Orcas,-54,81
246,98684,Vancouver,-20,-78
247,99124,Elmer City,62,27
248,98023,Federal Way,-30,-9
249,98821,Dryden,26,9
250,99123,Electric City,56,18
251,99149,Malden,78,3
252,98415,Tacoma,-30,3
253,98390,Sumner,-22,-15
254,99158,Oakesdale,84,0
255,99319,Desert Aire,42,-3
256,98223,Arlington,-28,72
257,98070,Vashon,-36,-6
258,99115,Coulee City,48,12
259,98555,Lilliwaup,-62,15
260,98287,Silvana,-8,48
261,99333,Hooper,76,0
262,99344,Othello,50,3
263,98903,Yakima,38,-9
264,98072,Woodinville,-22,33
265,98932,Granger,22,-9
266,98003,Federal Way,-28,-6
267,98271,Marysville,-36,72
268,98207,Everett,-12,42
269,99309,Mattawa,40,0
270,98360,Orting,-36,6
271,99129,Fruitland,68,30
272,98471,Tacoma,-18,-27
273,98807,Wenatchee,24,18
274,99301,Pasco,46,-9
275,99206,Spokane,106,3
276,98244,Deming,-24,84
277,98288,Skykomish,-6,27
278,99202,Spokane,94,15
279,98352,Sumner,-14,-9
280,99185,Wilbur,58,15
281,98208,Everett,-26,45
282,98552,Humptulips,-74,9
283,98377,Randle,-24,-30
284,98384,South Colby,-40,0
285,98382,Sequim,-14,27
286,98936,Moxee,28,0
287,98115,Seattle,-40,36
288,98328,Eatonville,-28,-18
289,99322,Bickleton,20,-12
290,98114,Seattle,4,12
291,98020,Edmonds,-50,45
292,98381,Sekiu,-76,18
293,98844,Oroville,46,33
294,98929,Goose Prairie,20,6
295,98366,Port Orchard,-44,6
296,98647,Skamokawa,-74,-51
297,98320,Brinnon,-62,21
298,98638,Naselle,-94,-51
299,99207,Spokane,94,9
300,98175,Seattle,-44,24
301,98227,Bellingham,-22,81
302,98585,Silver Creek,-34,-21
303,98105,Seattle,-38,33
304,98587,Taholah,-88,18
305,98424,Tacoma,-32,0
306,99125,Endicott,74,3
307,98662,Vancouver,-24,-78
308,98541,Elma,-70,3
309,99167,Rice,68,42
310,98166,Seattle,-32,18
311,98522,Adna,-86,-39
312,99174,Steptoe,80,-6
313,98332,Gig Harbor,-46,3
314,99031,Spangle,86,3
315,98058,Renton,-20,6
316,98431,Tacoma,-10,-9
317,98032,Kent,-26,9
318,98401,Tacoma,-38,-15
319,98849,Riverside,46,27
320,98464,Tacoma,-12,-24
321,98164,Seattle,-46,21
322,98325,Chimacum,-16,18
323,98161,Seattle,-2,-3
324,98220,Acme,-38,87
325,98846,Pateros,38,15
326,98683,Vancouver,-22,-81
327,98826,Leavenworth,22,15
328,98547,Grayland,-104,-42
329,98642,Ridgefield,-30,-57
330,99323,Burbank,50,-15
331,98050,Preston,-14,15
